Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Energy Efficiency [GFlops/Watts],Memory,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
24,17,64,17,CHIE-2,"NVIDIA DGX H100, Xeon Platinum 8480C 56C 2GHz, NVIDIA H100, Infiniband NDR400, Ubuntu 22.04.4 LTS",SoftBank Corp.,Nvidia,Japan,2024,Industry,"297,840","269,280","89,780.00","138,320.16","4,439,040",,,,,,,Cluster,Xeon Platinum 8480C 56C 2GHz,Intel Sapphire Rapids,"2,000",Ubuntu 22.04.4 LTS,Linux,NVIDIA H100,56,Xeon Platinum (Sapphire Rapids),NVIDIA DGX H100,NVIDIA DGX,Infiniband,Infiniband NDR400,Asia,"51,045",180329
25,19,57,5,Perlmutter,"HPE Cray EX 235n, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, Slingshot-11",DOE/SC/LBNL/NERSC,HPE,United States,2021,Research,"888,832","774,144","79,230.00","112,997.79","5,800,000",,"1,905.00","2,945.00",Submitted,26.90,,MPP,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",HPE Cray OS,Linux,NVIDIA A100 SXM4 40 GB,64,AMD Zen-3 (Milan),HPE Cray EX 235n,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,"48,429",179972
26,,65,26,Njoerd,"HPE Cray XD670, Xeon Platinum 8462Y+ 32C 2.8GHz, NVIDIA H100 SXM5 80GB, Infiniband NDR400, Ubuntu 22.04",Northern Data Group,HPE,United Kingdom,2024,Industry,"273,280","257,664","78,200.00","106,278.20","4,188,160",,,,,,,Cluster,Xeon Platinum 8462Y+ 32C 2.8GHz,Intel Sapphire Rapids,"2,800",Ubuntu 22.04,Linux,NVIDIA H100 SXM5 80GB,32,Xeon Platinum (Sapphire Rapids),HPE Cray XD670,HPE Cray XD,Infiniband,Infiniband NDR400,Europe,"51,076",180378
27,,65,27,ABCI-Q,"Supermicro SYS-221GE-TNHT-LCC, Intel Xeon Platinum 8558 48C 2.1GHz, NVIDIA H100 SXM5 80GB, Infiniband NDR, Rocky Linux 9.4",National Institute of Advanced Industrial Science and Technology (AIST),Fujitsu,Japan,2025,Research,"315,120","266,640","74,580.00","99,348.48","4,587,520",,969.33,"1,834.00",Submitted,40.67,,Cluster,Xeon Platinum 8558 48C 2.1GHz,Intel Emerald Rapids,"2,100",Rocky Linux 9.4,Linux,NVIDIA H100 SXM5 80GB,48,Xeon Platinum 85xx,Supermicro SYS-221GE-TNHT-LCC,Supermicro SuperServer,Infiniband,Infiniband NDR,Asia,"51,079",180362
28,20,64,20,El Dorado,"HPE Cray EX255a, AMD 4th Gen EPYC 24C 1.8GHz, AMD Instinct MI300A, Slingshot-11, TOSS",Sandia National Laboratories,HPE,United States,2024,Research,"383,040","346,560","68,020.00","95,290.62","4,734,720",,,"1,110.02",Submitted,61.28,,MPP,AMD 4th Gen EPYC 24C 1.8GHz,AMD Zen-4 (Genoa),"1,800",TOSS,Linux,AMD Instinct MI300A,24,AMD Zen-4 (Genoa),HPE Cray EX255a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,"48,748",180309
29,21,64,21,Gefion,"NVIDIA DGX H100, Xeon Platinum 8480C 56C 2GHz, NVIDIA H100 SXM5 80GB, Octo-rail NVIDIA HDR100 Infiniband, Red Hat Enterprise Linux",Danish Centre for AI Innovation,Nvidia,Denmark,2024,Research,"223,088","201,696","66,590.00","100,629.63","3,648,000",,749.79,"1,753.20",Submitted,37.98,,Cluster,Xeon Platinum 8480C 56C 2GHz,Intel Sapphire Rapids,"2,000",Red Hat Enterprise Linux,Linux,NVIDIA H100 SXM5 80GB,56,Xeon Platinum (Sapphire Rapids),NVIDIA DGX H100,NVIDIA DGX,Infiniband,Octo-rail NVIDIA HDR100 Infiniband,Europe,"51,051",180299
30,23,55,7,Selene,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband",NVIDIA Corporation,Nvidia,United States,2020,Vendor,"555,520","483,840","63,460.00","79,215.00","6,598,656",,"1,622.51","2,646.00",Submitted,23.98,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",Ubuntu 20.04.1 LTS,Linux,NVIDIA A100,64,AMD Zen-2 (Rome),NVIDIA DGX A100,NVIDIA DGX,Infiniband,Mellanox HDR Infiniband,North America,"48,448",179842
31,24,41,1,Tianhe-2A,"TH-IVB-FEP Cluster, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Matrix-2000",National Super Computer Center in Guangzhou,NUDT,China,2018,Research,"4,981,760","4,554,752","61,444.50","100,678.66","9,773,000",,,"18,482.00",Submitted,3.32,,Cluster,Intel Xeon E5-2692v2 12C 2.2GHz,Intel IvyBridge,"2,200",Kylin Linux,Linux,Matrix-2000,12,Intel Xeon E5 (IvyBridge),TH-IVB-FEP Cluster,TH-IVB Cluster,Custom Interconnect,TH Express-2,Asia,"50,365",177999
32,25,64,25,SuperPOD,"NVIDIA DGX H100, Xeon Platinum 8480C 56C 3.8GHz, NVIDIA H100 80GB, Infiniband NDR400, Ubuntu 20.04.2 LTS",Core42,Nvidia,United Arab Emirates,2024,Industry,"185,712","167,904","55,810.00","87,272.40","3,305,472",,,,,,,Cluster,Xeon Platinum 8480C 56C 3.8GHz,Intel Sapphire Rapids,"3,800",Ubuntu 20.04.2 LTS,Linux,NVIDIA H100 80GB,56,Xeon Platinum (Sapphire Rapids),NVIDIA DGX H100,NVIDIA DGX,Infiniband,Infiniband NDR400,Asia,"51,056",180314
33,,65,33,AI-03,"Supermicro AS-4125GS-TNRT2, AMD EPYC 9334 32C 2.7GHz, AMD Instinct MI210 64 GB, BCM57508 NetXtreme-E, Ubuntu 22.04.5 LTS",Core42,Supermicro,United Arab Emirates,2025,Industry,"483,840","449,280","54,120.00","99,125.00","5,953,536",,,,,,,Cluster,AMD EPYC 9334 32C 2.7GHz,AMD Zen-4 (Genoa),"2,700",Ubuntu 22.04.5 LTS,Linux,AMD Instinct MI210 64 GB,32,AMD Zen-4 (Genoa),Supermicro AS-4125GS-TNRT2,Supermicro SuperServer,Gigabit Ethernet,BCM57508 NetXtreme-E,Asia,"51,056",180361
34,26,61,11,Explorer-WUS3,"ND96_amsr_MI200_v4, AMD EPYC 7V12 48C 2.45GHz, AMD Instinct MI250X, Infiniband HDR",Microsoft Azure,Microsoft Azure,United States,2023,Vendor,"445,440","422,400","53,960.00","86,986.75","5,579,520",,,,,,,Cluster,AMD EPYC 7V12 48C 2.45GHz,AMD Zen-2 (Rome),"2,450",Ubuntu 20.04,Linux,AMD Instinct MI250X,48,AMD Zen-2 (Rome),ND96_amsr_MI200_v4,Microsoft Azure Cluster,Infiniband,Infiniband HDR,North America,"50,870",180171
35,27,64,27,Jean Zay H100,"Bull Sequana, Xeon Platinum 8468 48C 2.1GHz, NVIDIA H100 SXM5 80GB, Quad-Rail NVIDIA InfiniBand NDR200, Red Hat Enterprise Linux",CNRS/IDRIS-GENCI,EVIDEN,France,2024,Academic,"227,136","192,192","52,180.00","71,424.00","3,821,568",,,,,,,Cluster,Xeon Platinum 8468 48C 2.1GHz,Intel Sapphire Rapids,"2,100",Red Hat Enterprise Linux,Linux,NVIDIA H100 SXM5 80GB,48,Xeon Platinum (Sapphire Rapids),Bull Sequana,Bull Cluster,Infiniband,Quad-Rail NVIDIA InfiniBand NDR200,Europe,"50,403",180304
36,,65,36,FPT AI Factory Japan,"HGX H200, Xeon Platinum 8558 48C 2.1GHz, NVIDIA H200 SXM5 141 GB, Infiniband NDR400, Ubuntu 22.04.5 LTS",FPT AI Factory Japan,HPE,Japan,2025,Industry,"146,304","134,112","49,850.00","67,443.00","4,184,064",,,,,,,Cluster,Xeon Platinum 8558 48C 2.1GHz,Intel Emerald Rapids,"2,100",Ubuntu 22.04.5 LTS,Linux,NVIDIA H200 SXM5 141 GB,48,Xeon Platinum 85xx,HGX H200,NVIDIA HGX H200,Infiniband,Infiniband NDR400,Asia,"51,065",180399
37,28,64,28,Miyabi-G,"Supermicro ARS 111GL DNHR LCC, Grace Hopper Superchip 72C 3GHz, Infiniband NDR200, Rocky Linux",Joint Center for Advanced High Performance Computing,Fujitsu,Japan,2024,Academic,"221,952","143,616","46,800.00","72,796.08","4,889,600",,645.13,983.44,Submitted,47.59,,Cluster,GH Superchip 72C 3GHz,NVIDIA Grace CPU,"3,000",Rocky Linux,Linux,NVIDIA GH200 Superchip,72,NVIDIA Grace,Supermicro ARS 111GL DNHR LCC,Supermicro Cluster,Infiniband,Infiniband NDR200,Asia,"50,673",180297
38,,65,38,FPT AI Factory Vietnam,"ASUS HGX H100, Xeon Platinum 8462Y+ 32C 2.8GHz, NVIDIA H100 SXM5 80GB, Infiniband NDR400, Ubuntu 22.04.5 LTS",FPT AI Factory Vietnam,ASUSTeK,Vietnam,2025,Industry,"142,240","134,112","46,650.00","67,443.00","3,225,600",,,,,,,Cluster,Xeon Platinum 8462Y+ 32C 2.8GHz,Intel Sapphire Rapids,"2,800",Ubuntu 22.04.5 LTS,Linux,NVIDIA H100 SXM5 80GB,32,Xeon Platinum (Sapphire Rapids),ASUS HGX H100,ASUSTeK Cluster,Infiniband,Infiniband NDR400,Asia,"51,073",180387
39,29,62,16,ISEG,"Gigabyte G593-SD0, Xeon Platinum 8468 48C 2.1GHz, NVIDIA H100 SXM5 80 GB, Infiniband NDR400",Nebius,Nebius AI,Netherlands,2023,Others,"218,880","200,640","46,540.00","86,792.19","3,342,336",,,"1,320.00",Submitted,35.26,,Cluster,Xeon Platinum 8468 48C 2.1GHz,Intel Sapphire Rapids,"2,100",Ubuntu 20.04,Linux,NVIDIA H100 SXM5 80GB,48,Xeon Platinum (Sapphire Rapids),Gigabyte G593-SD0,Nebius AI Cluster,Infiniband,Infiniband NDR400,Europe,"50,986",180234
40,30,59,10,Adastra,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES),HPE,France,2022,Academic,"319,072","297,440","46,100.00","61,607.94","4,492,800",,562.01,921.48,Submitted,50.03,,MPP,AMD Optimized 3rd Generation EPYC 64C 2GHz,AMD Zen-3 (Milan),"2,000",HPE Cray OS,Linux,AMD Instinct MI250X,64,AMD Zen-3 (Milan),HPE Cray EX235a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Europe,"50,203",180051
41,31,64,31,Ubilink,"ASUS ESC N8-E11 Cluster, Intel Xeon Platinum 8462Y+ 32C 2.8GHz, NVIDIA H100 80GB, Infiniband NDR400, RHEL 8.9","Ubilink.AI CO., LTD",ASUSTeK,Taiwan,2024,Vendor,"143,360","135,168","45,820.00","69,342.00","3,078,144",,442.17,"1,066.17",Submitted,42.98,,Cluster,Xeon Platinum 8462Y+ 32C 2.8GHz,Intel Sapphire Rapids,"2,800",RHEL 8.9,Linux,NVIDIA H100 80GB,32,Xeon Platinum (Sapphire Rapids),ASUS ESC N8-E11 Cluster,ASUSTeK Cluster,Infiniband,Infiniband NDR400,Asia,"51,037",180331
42,32,64,32,Reindeer,"Microsoft ND H200 v5, Xeon Platinum 8480C 48C 2GHz, NVIDIA H200, NVIDIA Infiniband NDR, Ubuntu 22.04",Microsoft Azure,Microsoft Azure,United States,2024,Industry,"138,240","126,720","45,590.00","56,417.28","4,034,560",,,,,,,Cluster,Xeon Platinum 8480C 48C 2GHz,Intel Sapphire Rapids,"2,000",Ubuntu 22.04,Linux,NVIDIA H200,48,Xeon Platinum (Sapphire Rapids),Microsoft ND H200 v5,Microsoft Azure Cluster,Infiniband,NVIDIA Infiniband NDR,North America,"51,041",180349
43,33,56,7,JUWELS Booster Module,"Bull Sequana XH2000 , AMD EPYC 7402 24C 2.8GHz, NVIDIA A100, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite",Forschungszentrum Juelich (FZJ),EVIDEN,Germany,2020,Research,"449,280","404,352","44,120.00","70,980.00","4,315,584",,"1,275.36","1,764.22",Submitted,25.01,,Cluster,AMD EPYC 7402 24C 2.8GHz,AMD Zen-2 (Rome),"2,800",CentOS,Linux,NVIDIA A100,24,AMD Zen-2 (Rome),BullSequana XH2000,BullSequana,Infiniband,Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite,Europe,"47,871",179894
44,34,64,34,Israel-1,"PowerEdge XE9680, Xeon Platinum 8480+ 56C 2GHz, NVIDIA H100, NVIDIA Spectrum-X Ethernet, Ubuntu 22.04",NVIDIA Corporation,DELL,Israel,2023,Industry,"74,880","61,776","41,500.00","52,679.02","3,089,920",,,,,,,Cluster,Xeon Platinum 8480+ 56C 2GHz,Intel Sapphire Rapids,"2,000",Ubuntu 22.04,Linux,NVIDIA H100,56,Xeon Platinum (Sapphire Rapids),PowerEdge XE9680,Dell PowerEdge Cluster,Ethernet,NVIDIA Spectrum-X Ethernet,Asia,"51,055",180337
